TimeWindow  TotalIterations  Iterations  Convergence  AvgConvRate(Displacements0)  DeletedColumns  
50  101  2  1  0.0001024005763696  0  
51  103  2  1  0.0000961874041702  1  
52  105  2  1  0.0000940159648021  1  
53  107  2  1  0.0001147488535933  1  
54  109  2  1  0.0000875307682207  1  
55  111  2  1  0.0001067260788595  1  
56  113  2  1  0.0000916730112650  1  
57  115  2  1  0.0001195367659885  1  
58  117  2  1  0.0000861252787173  1  
59  119  2  1  0.0000933656596304  1  
60  121  2  1  0.0001231782771653  1  
61  123  2  1  0.0001141129557455  1  
62  125  2  1  0.0000984890116162  1  
63  127  2  1  0.0000974524661230  1  
64  129  2  1  0.0001198520526760  1  
65  131  2  1  0.0001228280127548  1  
66  133  2  1  0.0001274369889427  1  
67  135  2  1  0.0001259942282735  1  
68  137  2  1  0.0001228622465692  1  
69  139  2  1  0.0001270148835444  1  
70  141  2  1  0.0001188411412885  1  
71  143  2  1  0.0000850357664592  1  
72  145  2  1  0.0000786727188231  1  
73  147  2  1  0.0001107142368866  1  
74  149  2  1  0.0001385694600556  1  
75  151  2  1  0.0001594554456262  1  
76  153  2  1  0.0001783723135343  1  
77  155  2  1  0.0001840913458594  1  
78  157  2  1  0.0001090939892388  0  
79  159  2  1  0.0001091954749894  1  
80  161  2  1  0.0001169473054455  1  
81  163  2  1  0.0001437441852046  1  
82  165  2  1  0.0001695430480729  1  
83  167  2  1  0.0001912101416530  1  
84  169  2  1  0.0002168503193428  1  
85  171  2  1  0.0002462005969780  1  
86  173  2  1  0.0002698819604833  1  
87  175  2  1  0.0002732083892663  1  
88  177  2  1  0.0002713654679409  1  
89  179  2  1  0.0002903970711593  1  
90  181  2  1  0.0003159762345225  1  
91  183  2  1  0.0003213131390621  1  
92  185  2  1  0.0003062918930373  1  
93  187  2  1  0.0002807879215261  1  
94  189  2  1  0.0002378269566148  1  
95  191  2  1  0.0001939964048880  1  
96  193  2  1  0.0001833860311018  1  
97  195  2  1  0.0002107731118149  1  
98  197  2  1  0.0002427776158641  1  
99  199  2  1  0.0002569396596294  1  
100  201  2  1  0.0002729999466317  1  
101  203  2  1  0.0002973603838897  1  
102  205  2  1  0.0003086888814137  1  
103  207  2  1  0.0003004440551073  1  
104  209  2  1  0.0002987739708101  1  
105  211  2  1  0.0003196363255582  1  
106  213  2  1  0.0003382162878131  1  
107  215  2  1  0.0003252740257403  1  
108  217  2  1  0.0002833385207396  1  
109  219  2  1  0.0002550146480181  1  
110  221  2  1  0.0002702066662546  1  
111  223  2  1  0.0003057913454490  1  
112  225  2  1  0.0003329907831802  1  
113  227  2  1  0.0003397411586802  1  
114  229  2  1  0.0003259355158053  1  
115  231  2  1  0.0002719910029357  1  
116  233  2  1  0.0001877535192441  1  
117  235  2  1  0.0001846863741009  1  
118  237  2  1  0.0001871993843663  1  
119  239  2  1  0.0002619304348341  1  
120  241  2  1  0.0003434429718084  1  
121  243  2  1  0.0003937421221344  1  
122  245  2  1  0.0004007114047869  1  
123  247  2  1  0.0003677097348770  1  
124  249  2  1  0.0003192595384937  1  
125  251  2  1  0.0002691176208415  1  
126  253  2  1  0.0002128738274433  1  
127  255  2  1  0.0001717765284563  1  
128  257  2  1  0.0001770556750768  1  
129  259  2  1  0.0001964000293743  1  
130  261  2  1  0.0002064552522580  1  
131  263  2  1  0.0001924387457700  1  
132  265  2  1  0.0001720464281816  1  
133  267  2  1  0.0001825605015793  1  
134  269  2  1  0.0002142816890162  1  
135  271  2  1  0.0002478696014549  1  
136  273  2  1  0.0002863708139831  1  
137  275  2  1  0.0003339397555982  1  
138  277  2  1  0.0003691073104126  1  
139  279  2  1  0.0003626118071333  1  
140  281  2  1  0.0003371667475339  1  
141  283  2  1  0.0003264287622118  1  
142  285  2  1  0.0003274785853550  1  
143  287  2  1  0.0003276631540137  1  
144  289  2  1  0.0003168089993362  1  
145  291  2  1  0.0003004461531262  1  
146  293  2  1  0.0002978625505241  1  
147  295  2  1  0.0003083962091734  1  
148  297  2  1  0.0003242449393128  1  
149  299  2  1  0.0003449415095639  1  
150  301  2  1  0.0003698122792178  1  
151  303  2  1  0.0003912894862126  1  
152  305  2  1  0.0004005322839133  1  
153  307  2  1  0.0004062883633565  1  
154  309  2  1  0.0004309068041198  1  
155  311  2  1  0.0004685205729344  1  
156  313  2  1  0.0004821422591344  1  
157  315  2  1  0.0004485427433910  1  
158  317  2  1  0.0004036668090635  1  
159  319  2  1  0.0003851552454361  1  
160  321  2  1  0.0003867878269865  1  
161  323  2  1  0.0003938710929917  1  
162  325  2  1  0.0003983402185865  1  
163  327  2  1  0.0004034162116819  1  
164  329  2  1  0.0004118256509406  1  
165  331  2  1  0.0004206328635607  1  
166  333  2  1  0.0004333283777487  1  
167  335  2  1  0.0004544562424843  1  
168  337  2  1  0.0004674360992648  1  
169  339  2  1  0.0004468169958779  1  
170  341  2  1  0.0003966765783157  1  
171  343  2  1  0.0003414646445721  1  
172  345  2  1  0.0003153220736790  1  
173  347  2  1  0.0003315816664446  1  
174  349  2  1  0.0003488564039635  1  
175  351  2  1  0.0003450954294211  1  
176  353  2  1  0.0003326001169690  1  
177  355  2  1  0.0003204729484627  1  
178  357  2  1  0.0003066450962755  1  
179  359  2  1  0.0002971004460242  1  
180  361  2  1  0.0003067003319420  1  
181  363  2  1  0.0003301672424226  1  
182  365  2  1  0.0003491643532308  1  
183  367  2  1  0.0003582050136957  1  
184  369  2  1  0.0003581280597857  1  
185  371  2  1  0.0003431315267539  1  
186  373  2  1  0.0003162528281110  1  
187  375  2  1  0.0002958606936229  1  
188  377  2  1  0.0002890823388997  1  
189  379  2  1  0.0002981262691750  1  
190  381  2  1  0.0003201571465993  1  
191  383  2  1  0.0003351761380901  1  
192  385  2  1  0.0003163799526321  1  
193  387  2  1  0.0002631964960653  1  
194  389  2  1  0.0002146563612400  1  
195  391  2  1  0.0002138853994003  1  
196  393  2  1  0.0002303320726824  1  
197  395  2  1  0.0002456234099769  1  
198  397  2  1  0.0002623089802121  1  
199  399  2  1  0.0002651523456296  1  
200  401  2  1  0.0002503006227484  1  
201  403  2  1  0.0002390498977319  1  
202  405  2  1  0.0002574548857489  1  
203  407  2  1  0.0002841098536474  1  
204  409  2  1  0.0002759764913749  1  
205  411  2  1  0.0002372057235940  1  
206  413  2  1  0.0002305635427773  1  
207  415  2  1  0.0002596551385461  1  
208  417  2  1  0.0002808932650694  1  
209  419  2  1  0.0002815659084653  1  
210  421  2  1  0.0002616694214863  1  
211  423  2  1  0.0002382096264293  1  
212  425  2  1  0.0002683780477869  1  
213  427  2  1  0.0003269536799523  1  
214  429  2  1  0.0003504348754495  1  
215  431  2  1  0.0003168230496342  1  
216  433  2  1  0.0002770685749657  1  
217  435  2  1  0.0002954812067130  1  
218  437  2  1  0.0003335726478901  1  
219  439  2  1  0.0003584664202300  1  
220  441  2  1  0.0003556699782654  1  
221  443  2  1  0.0003206865391729  1  
222  445  2  1  0.0002918370850596  1  
223  447  2  1  0.0002992829835816  1  
224  449  2  1  0.0003251005637594  1  
225  451  2  1  0.0003767668059618  1  
226  453  2  1  0.0004218343801384  1  
227  455  2  1  0.0004376758140721  1  
228  457  2  1  0.0004633527727064  1  
229  459  2  1  0.0004953318001471  1  
230  461  2  1  0.0005394781049653  1  
231  463  2  1  0.0005798558681176  1  
232  465  2  1  0.0006740860325227  1  
233  467  2  1  0.0007515236294643  1  
234  469  2  1  0.0008416803838780  1  
235  471  2  1  0.0008906750834670  1  
236  473  2  1  0.0009963728728107  1  
237  475  2  1  0.0010476056910558  1  
238  477  2  1  0.0010564298687977  1  
239  479  2  1  0.0011812262311560  1  
240  481  2  1  0.0013674753450479  1  
241  483  2  1  0.0015519137902478  1  
242  485  2  1  0.0015925641259893  1  
243  487  2  1  0.0019015845484175  1  
244  489  2  1  0.0021234101646912  1  
245  491  2  1  0.0020239736408523  1  
246  493  2  1  0.0021566856813324  1  
247  495  2  1  0.0022408253319487  1  
248  497  2  1  0.0025947317522287  1  
249  499  2  1  0.0027740818314065  1  
250  501  2  1  0.0028285000123549  1  
251  503  2  1  0.0032214611787554  1  
252  505  2  1  0.0036823797957011  1  
253  507  2  1  0.0042117584983006  1  
254  509  2  1  0.0032528384564304  0  
255  511  2  1  0.0040642595835525  0  
256  513  2  1  0.0044314286182185  1  
257  515  2  1  0.0038180561945013  0  
258  517  2  1  0.0049630936250367  1  
259  519  2  1  0.0050112544663844  1  
260  521  2  1  0.0055599654188466  0  
261  523  2  1  0.0054437440744712  0  
262  525  2  1  0.0055491844061479  0  
263  527  2  1  0.0063140908094084  0  
264  529  2  1  0.0065093767485714  0  
265  531  2  1  0.0070343112908654  1  
266  533  2  1  0.0067687915850037  0  
267  535  2  1  0.0087205768740129  0  
268  537  2  1  0.0077924172347311  0  
269  539  2  1  0.0090471718606163  0  
270  541  2  1  0.0076667789424052  0  
271  543  2  1  0.0096101890572042  0  
272  545  2  1  0.0095858957481493  0  
273  547  2  1  0.0099160922986959  0  
274  549  2  1  0.0108617688895483  0  
275  551  2  1  0.0108747084751400  0  
276  553  2  1  0.0100748377321287  0  
277  555  2  1  0.0111969461546633  0  
278  557  2  1  0.0120633829503009  0  
279  559  2  1  0.0117484925060577  0  
280  561  2  1  0.0116283145281461  0  
281  563  2  1  0.0119591833650389  0  
282  565  2  1  0.0119803201464420  0  
283  567  2  1  0.0123117402409599  0  
284  569  2  1  0.0127162093680188  0  
285  571  2  1  0.0121895768972650  0  
286  573  2  1  0.0124336956231025  0  
287  575  2  1  0.0117919240876834  0  
288  577  2  1  0.0127340454679566  0  
289  579  2  1  0.0124436633347463  0  
290  581  2  1  0.0129322850799727  0  
291  583  2  1  0.0125030333705392  0  
292  585  2  1  0.0122851165170199  0  
293  587  2  1  0.0126644943245915  0  
294  589  2  1  0.0126558161673306  0  
295  591  2  1  0.0127202799922003  0  
296  593  2  1  0.0116832339357674  0  
297  595  2  1  0.0120803560299238  0  
298  597  2  1  0.0119269749024964  0  
299  599  2  1  0.0121717040774480  0  
300  601  2  1  0.0111484191108748  0  
301  603  2  1  0.0119103203890303  0  
302  605  2  1  0.0107160454431499  0  
303  607  2  1  0.0118624489729531  0  
304  609  2  1  0.0112992188012625  0  
305  611  2  1  0.0109571736126478  0  
306  613  2  1  0.0110762653073107  0  
307  615  2  1  0.0103890845596827  0  
308  617  2  1  0.0108303893283592  0  
309  619  2  1  0.0108838984721440  0  
310  621  2  1  0.0105794727819018  0  
311  623  2  1  0.0109561910507864  0  
312  625  2  1  0.0111006039743470  0  
313  627  2  1  0.0106841094459095  0  
314  629  2  1  0.0100925115326902  0  
315  631  2  1  0.0106017963366748  0  
