TimeWindow  Iteration  ResNorm(Displacements0)  
36  2  0.0000000009692415  
37  1  0.0836338549968090  
37  2  0.0000000008794147  
38  1  0.0815867798792069  
38  2  0.0000000011228636  
39  1  0.0796546095887419  
39  2  0.0000000008871736  
40  1  0.0778239298092407  
40  2  0.0000000006791951  
41  1  0.0760831671658816  
41  2  0.0000000005931099  
42  1  0.0744217020498466  
42  2  0.0000000006802288  
43  1  0.0728302138135175  
43  2  0.0000000008898566  
44  1  0.0713008344034331  
44  2  0.0000000009780380  
45  1  0.0698264488970756  
45  2  0.0000000006109307  
46  1  0.0684004110783815  
46  2  0.0000000008303175  
47  1  0.0670165916223803  
47  2  0.0000000007956039  
48  1  0.0656693340348923  
48  2  0.0000000005482924  
49  1  0.0643538618609181  
49  2  0.0000000007492615  
50  1  0.0630667083072144  
50  2  0.0000000006613098  
51  1  0.0618055062091490  
51  2  0.0000000005718256  
52  1  0.0605687290298365  
52  2  0.0000000005353671  
53  1  0.0593555316166485  
53  2  0.0000000007815521  
54  1  0.0581651064031805  
54  2  0.0000000004456398  
55  1  0.0569962432106398  
55  2  0.0000000006492132  
56  1  0.0558479583589959  
56  2  0.0000000004693429  
57  1  0.0547200766968611  
57  2  0.0000000007818973  
58  1  0.0536129109833336  
58  2  0.0000000003976772  
59  1  0.0525269767849504  
59  2  0.0000000004578853  
60  1  0.0514630134986112  
60  2  0.0000000007808425  
61  1  0.0504216702282698  
61  2  0.0000000006565792  
62  1  0.0494031235006757  
62  2  0.0000000004792145  
63  1  0.0484071486957783  
63  2  0.0000000004597219  
64  1  0.0474333779723907  
64  2  0.0000000006813574  
65  1  0.0464813749665434  
65  2  0.0000000007012515  
66  1  0.0455506241657076  
66  2  0.0000000007397506  
67  1  0.0446405712769439  
67  2  0.0000000007086488  
68  1  0.0437506198666011  
68  2  0.0000000006604214  
69  1  0.0428800454689015  
69  2  0.0000000006917744  
70  1  0.0420279085027606  
70  2  0.0000000005935693  
71  1  0.0411930675678139  
71  2  0.0000000002978704  
72  1  0.0403743973546153  
72  2  0.0000000002498932  
73  1  0.0395710699899597  
73  2  0.0000000004850480  
74  1  0.0387826073043357  
74  2  0.0000000007446841  
75  1  0.0380087691612103  
75  2  0.0000000009664125  
76  1  0.0372494825637896  
76  2  0.0000000011851550  
77  1  0.0365047375428813  
77  2  0.0000000012371318  
78  1  0.0357744312195277  
78  2  0.0000000004257693  
79  1  0.0350583238254340  
79  2  0.0000000004180232  
80  1  0.0343561082067450  
80  2  0.0000000004698772  
81  1  0.0336674850961400  
81  2  0.0000000006956507  
82  1  0.0329922060347079  
82  2  0.0000000009483559  
83  1  0.0323300636003915  
83  2  0.0000000011820297  
84  1  0.0316808572752565  
84  2  0.0000000014897626  
85  1  0.0310443880385564  
85  2  0.0000000018817473  
86  1  0.0304204547516084  
86  2  0.0000000022157125  
87  1  0.0298088454278791  
87  2  0.0000000022250164  
88  1  0.0292093799966341  
88  2  0.0000000021509559  
89  1  0.0286219745545199  
89  2  0.0000000024137042  
90  1  0.0280466422912540  
90  2  0.0000000028002043  
91  1  0.0274834418462084  
91  2  0.0000000028374492  
92  1  0.0269324302293104  
92  2  0.0000000025266585  
93  1  0.0263936308006815  
93  2  0.0000000020809229  
94  1  0.0258670206446677  
94  2  0.0000000014630817  
95  1  0.0253525519679979  
95  2  0.0000000009541333  
96  1  0.0248501925451432  
96  2  0.0000000008357228  
97  1  0.0243599572650975  
97  2  0.0000000010821985  
98  1  0.0238819076279188  
98  2  0.0000000014076228  
99  1  0.0234161040212510  
99  2  0.0000000015458841  
100  1  0.0229625444911938  
100  2  0.0000000017113748  
101  1  0.0225211488111377  
101  2  0.0000000019913920  
102  1  0.0220917864591409  
102  2  0.0000000021051004  
103  1  0.0216743077272212  
103  2  0.0000000019564667  
104  1  0.0212685693581396  
104  2  0.0000000018985577  
105  1  0.0208744500544707  
105  2  0.0000000021326879  
106  1  0.0204918279674949  
106  2  0.0000000023440655  
107  1  0.0201205319215541  
107  2  0.0000000021288165  
108  1  0.0197603242934003  
108  2  0.0000000015863730  
109  1  0.0194109319422399  
109  2  0.0000000012623409  
110  1  0.0190720835676016  
110  2  0.0000000013924841  
111  1  0.0187435246656705  
111  2  0.0000000017526760  
112  1  0.0184250154978759  
112  2  0.0000000020430184  
113  1  0.0181163178295092  
113  2  0.0000000020910589  
114  1  0.0178171725728366  
114  2  0.0000000018927888  
115  1  0.0175272859132263  
115  2  0.0000000012966529  
116  1  0.0172463435750777  
116  2  0.0000000006079575  
117  1  0.0169740464204779  
117  2  0.0000000005789687  
118  1  0.0167101438498015  
118  2  0.0000000005855838  
119  1  0.0164544535813561  
119  2  0.0000000011288998  
120  1  0.0162068655694125  
